测试套/软件包名,测试用例名,状态,原因
cht,oe_test_cht_client_mode,not tested,
,oe_test_cht_ordinary_mode,not tested,
clang,oe_test_clang_04,not tested,
embedded_os_basic_extra_test,all,not tested,
libguestfs,oe_test_libguestfish_guestunmount,not tested,
,oe_test_libguestfs_guestfish_01,not tested,
,oe_test_libguestfs_guestfish_02,not tested,
,oe_test_libguestfs_guestfish_03,not tested,
,oe_test_libguestfs_guestmount_01,not tested,
,oe_test_libguestfs_guestmount_02,not tested,
,oe_test_libguestfs_guestmount_03,not tested,
,oe_test_libguestfs_libguestfs-boot-analysis,not tested,
,oe_test_libguestfs_libguestfs-boot-benchmark,not tested,
,oe_test_libguestfs_libguestfs-test-tool,not tested,
,oe_test_libguestfs_virt-alignment-scan,not tested,
,oe_test_libguestfs_virt-builder-repository,not tested,
,oe_test_libguestfs_virt-builder,not tested,
,oe_test_libguestfs_virt-cat,not tested,
,oe_test_libguestfs_virt-copy-in,not tested,
,oe_test_libguestfs_virt-copy-out,not tested,
,oe_test_libguestfs_virt-customize,not tested,
,oe_test_libguestfs_virt-df_01,not tested,
,oe_test_libguestfs_virt-df_02,not tested,
,oe_test_libguestfs_virt-dib,not tested,
,oe_test_libguestfs_virt-diff_01,not tested,
,oe_test_libguestfs_virt-diff_02,not tested,
,oe_test_libguestfs_virt-diff_03,not tested,
,oe_test_libguestfs_virt-edit_01,not tested,
,oe_test_libguestfs_virt-edit_02,not tested,
,oe_test_libguestfs_virt-filesystems_01,not tested,
,oe_test_libguestfs_virt-filesystems_02,not tested,
,oe_test_libguestfs_virt-filesystems_03,not tested,
,oe_test_libguestfs_virt-format,not tested,
,oe_test_libguestfs_virt-get-kernel_01,not tested,
,oe_test_libguestfs_virt-get-kernel_02,not tested,
,oe_test_libguestfs_virt-index-validate,not tested,
,oe_test_libguestfs_virt-inspector_01,not tested,
,oe_test_libguestfs_virt-inspector_02,not tested,
,oe_test_libguestfs_virt-log,not tested,
,oe_test_libguestfs_virt-ls_01,not tested,
,oe_test_libguestfs_virt-ls_02,not tested,
,oe_test_libguestfs_virt-make-fs,not tested,
,oe_test_libguestfs_virt-p2v-make-disk,not tested,
,oe_test_libguestfs_virt-p2v-make-kickstart,not tested,
,oe_test_libguestfs_virt-p2v-make-kiwi,not tested,
,oe_test_libguestfs_virt-rescue_01,not tested,
,oe_test_libguestfs_virt-rescue_02,not tested,
,oe_test_libguestfs_virt-resize_01,not tested,
,oe_test_libguestfs_virt-resize_02,not tested,
,oe_test_libguestfs_virt-resize_03,not tested,
,oe_test_libguestfs_virt-sparsify,not tested,
,oe_test_libguestfs_virt-sysprep_01,not tested,
,oe_test_libguestfs_virt-sysprep_03,not tested,
,oe_test_libguestfs_virt-sysprep_04,not tested,
,oe_test_libguestfs_virt-sysprep_05,not tested,
,oe_test_libguestfs_virt-tail,not tested,
,oe_test_libguestfs_virt-tar-in,not tested,
,oe_test_libguestfs_virt-tar-out,not tested,
,oe_test_libguestfs_virt-v2v-copy-to-local,not tested,
,oe_test_libguestfs_virt-v2v,not tested,
,oe_test_libguestfs_virt-win-reg,not tested,
rocksdb,oe_test_rocksdb,not tested,
security_test,all,not tested,
smoke-basic-os,oe_test_rsyslog_03,not tested,
Echarts,oe_test_Echarts,not tested,
FS_Docker,all,not tested,
FS_File,all,not tested,
FS_FileSystem,all,not tested,
FS_IO,all,not tested,
Keras,oe_test_Keras,not tested,
anthy,oe_test_anthy_01,not tested,
aqute-bnd,oe_test_aqute_bnd_01,not tested,
,oe_test_aqute_bnd_02,not tested,
,oe_test_aqute_bnd_03,not tested,
,oe_test_aqute_bnd_04,not tested,
,oe_test_aqute_bnd_05,not tested,
,util,not tested,
aspell,oe_test_aspell_precat_02,not tested,
,oe_test_aspell_preunzip_01,not tested,
,oe_test_aspell_preunzip_02,not tested,
,oe_test_aspell_prezip-bin,not tested,
,oe_test_aspell_prezip_01,not tested,
,oe_test_aspell_prezip_02,not tested,
,oe_test_aspell_word-list-compress,not tested,
assimp,oe_test_assimp_01,not tested,
,oe_test_assimp_02,not tested,
atd,oe_test_service_atd,not tested,
baws-sdk-java,oe_test_baws-sdk-java_001,not tested,
byacc2.0,oe_test_byacc2.0_byacc_03,not tested,
,oe_test_byacc2.0_yacc_03,not tested,
,oe_test_byacc_byacc_01,not tested,
,oe_test_byacc_byacc_02,not tested,
,oe_test_byacc_yacc_01,not tested,
,oe_test_byacc_yacc_02,not tested,
conmon,conmon_podman,not tested,
,oe_test_conmon_01,not tested,
,oe_test_conmon_02,not tested,
,oe_test_conmon_03,not tested,
,oe_test_conmon_04,not tested,
console-setup,oe_test_console-setup_ckbcomp_01,not tested,
,oe_test_console-setup_ckbcomp_02,not tested,
,oe_test_console-setup_setupcon_01,not tested,
,oe_test_console-setup_setupcon_02,not tested,
containerd,oe_test_containerd,not tested,
dnssec-triggerd,oe_test_dnssec-trigger-control-setup,not tested,
,oe_test_dnssec-trigger-control_01,not tested,
,oe_test_dnssec-trigger-control_02,not tested,
,oe_test_dnssec-trigger-control_03,not tested,
,oe_test_dnssec-trigger-control_04,not tested,
,oe_test_dnssec-triggerd,not tested,
docbook5-schemas,oe_test_docbook5_schemas,not tested,
embedded_dsoftbus_basic_test,all,not tested,
embedded_security_config_test,all,not tested,
enchant2_2.2.15,oe_test_enchant2_2.3.3_enchant-2,not tested,
,oe_test_enchant2_base_enchant-2,not tested,
,oe_test_enchant2_base_enchant-lsmod-2,not tested,
enchant2_2.3.3,oe_test_enchant2_2.3.3_enchant-2,not tested,
,oe_test_enchant2_base_enchant-2,not tested,
,oe_test_enchant2_base_enchant-lsmod-2,not tested,
etmemd,oe_test_etmemd_001,not tested,
fetch-crl,oe_test_clean-crl,not tested,
,oe_test_fetch_crl_01,not tested,
,oe_test_fetch_crl_02,not tested,
,oe_test_fetch_crl_03,not tested,
,oe_test_fetch_crl_service,not tested,
figlet,oe_test_figlet,not tested,
genders,oe_test_genders,not tested,
groovy18,oe_test_grape_01,not tested,
,oe_test_grape_02,not tested,
,oe_test_groovy18_01,not tested,
,oe_test_groovy18_02,not tested,
,oe_test_groovy18c_01,not tested,
,oe_test_groovy18c_02,not tested,
,oe_test_groovy18sh,not tested,
,oe_test_java2groovy18,not tested,
gyp,oe_test_gyp_01,not tested,
,oe_test_gyp_02,not tested,
hadoop-3.1,hadoop-env,not tested,
hadoop,hadoop-env,not tested,
hfsplus-tools,oe_test_fsck_hfs,not tested,
,oe_test_fsck_hfsplus_01,not tested,
,oe_test_fsck_hfsplus_02,not tested,
,oe_test_mkfs_hfsplus,not tested,
httpry,oe_test_httpry_01,not tested,
,oe_test_httpry_02,not tested,
hwloc_1.11.9,oe_test_hwloc_1.11.9_hwloc-assembler,not tested,
,oe_test_hwloc_1.11.9_hwloc-distances_01,not tested,
,oe_test_hwloc_1.11.9_hwloc-distances_02,not tested,
,oe_test_hwloc_2.7.1_hwloc-annotate,not tested,
,oe_test_hwloc_2.7.1_hwloc-bind,not tested,
,oe_test_hwloc_2.7.1_hwloc-calc_01,not tested,
,oe_test_hwloc_2.7.1_hwloc-calc_02,not tested,
,oe_test_hwloc_2.7.1_hwloc-compress-dir,not tested,
,oe_test_hwloc_2.7.1_hwloc-distrib,not tested,
,oe_test_hwloc_2.7.1_hwloc-gather-topology,not tested,
,oe_test_hwloc_2.7.1_hwloc-info,not tested,
,oe_test_hwloc_2.7.1_hwloc-ls_01,not tested,
,oe_test_hwloc_2.7.1_hwloc-ps,not tested,
,oe_test_hwloc_2.7.1_lstopo-no-graphics_01,not tested,
,oe_test_hwloc_2.7.1_lstopo_01,not tested,
,oe_test_hwloc_2.7.1_others,not tested,
,oe_test_hwloc_base_hwloc-annotate,not tested,
,oe_test_hwloc_base_hwloc-bind_01,not tested,
,oe_test_hwloc_base_hwloc-bind_02,not tested,
,oe_test_hwloc_base_hwloc-bind_03,not tested,
,oe_test_hwloc_base_hwloc-calc_01,not tested,
,oe_test_hwloc_base_hwloc-calc_02,not tested,
,oe_test_hwloc_base_hwloc-calc_03,not tested,
,oe_test_hwloc_base_hwloc-calc_04,not tested,
,oe_test_hwloc_base_hwloc-compress-dir,not tested,
,oe_test_hwloc_base_hwloc-distrib_01,not tested,
,oe_test_hwloc_base_hwloc-distrib_02,not tested,
,oe_test_hwloc_base_hwloc-info_01,not tested,
,oe_test_hwloc_base_hwloc-info_02,not tested,
,oe_test_hwloc_base_hwloc-info_03,not tested,
,oe_test_hwloc_base_hwloc-info_04,not tested,
,oe_test_hwloc_base_hwloc-ls_01,not tested,
,oe_test_hwloc_base_hwloc-ls_02,not tested,
,oe_test_hwloc_base_hwloc-ls_03,not tested,
,oe_test_hwloc_base_hwloc-ls_04,not tested,
,oe_test_hwloc_base_hwloc-ls_05,not tested,
,oe_test_hwloc_base_hwloc-patch,not tested,
,oe_test_hwloc_base_hwloc-ps_01,not tested,
,oe_test_hwloc_base_hwloc-ps_02,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_01,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_02,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_03,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_04,not tested,
,oe_test_hwloc_base_lstopo-no-graphics_05,not tested,
,oe_test_hwloc_base_lstopo_01,not tested,
,oe_test_hwloc_base_lstopo_02,not tested,
,oe_test_hwloc_base_lstopo_03,not tested,
,oe_test_hwloc_base_lstopo_04,not tested,
,oe_test_hwloc_base_lstopo_05,not tested,
,oe_test_hwloc_base_others,not tested,
hwloc_2.7.1,oe_test_hwloc_1.11.9_hwloc-assembler,not tested,
,oe_test_hwloc_1.11.9_hwloc-distances_01,not tested,
,oe_test_hwloc_1.11.9_hwloc-distances_02,not tested,
,oe_test_hwloc_2.7.1_hwloc-annotate,not tested,
,oe_test_hwloc_2.7.1_hwloc-bind,not tested,
,oe_test_hwloc_2.7.1_hwloc-calc_01,not tested,
,oe_test_hwloc_2.7.1_hwloc-calc_02,not tested,
,oe_test_hwloc_2.7.1_hwloc-compress-dir,not tested,
,oe_test_hwloc_2.7.1_hwloc-distrib,not tested,
,oe_test_hwloc_2.7.1_hwloc-gather-topology,not tested,
,oe_test_hwloc_2.7.1_hwloc-info,not tested,
,oe_test_hwloc_2.7.1_hwloc-ls_01,not tested,
,oe_test_hwloc_2.7.1_hwloc-ps,not tested,
,oe_test_hwloc_2.7.1_lstopo-no-graphics_01,not tested,
,oe_test_hwloc_2.7.1_lstopo_01,not tested,
,oe_test_hwloc_2.7.1_others,not tested,
,oe_test_hwloc_base_hwloc-annotate,not tested,
,oe_test_hwloc_base_hwloc-bind_01,not tested,
,oe_test_hwloc_base_hwloc-bind_02,not tested,
,oe_test_hwloc_base_hwloc-bind_03,not tested,
