测试套/软件包名,测试用例名,状态,原因
apache-zookeeper,oe_test_zookeeper,not tested,no pkg in pkglist
,oe_test_service_zookeeper,not tested,no pkg in pkglist
hyperscan,oe_test_hyperscan_simplegrep,not tested,no pkg in pkglist
libguestfs,oe_test_libguestfs_virt-sysprep_02,not tested,no pkg in pkglist
,common_libguestfs,not tested,no pkg in pkglist
minimap,oe_test_minimap2,not tested,no pkg in pkglist
cowsay,oe_test_cowsay,not tested,no pkg in pkglist
edac-utils,oe_test_service_edac,not tested,no pkg in pkglist
fapolicyd,oe_test_fapolicyd-service,not tested,no pkg in pkglist
gala-anteater,oe_test_service_anteater,not tested,no pkg in pkglist
hadoop-3.1,oe_test_service_hadoop-datanode-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-historyserver-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-journalnode-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-namenode-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-nodemanager-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-proxyserver-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-resourcemanager-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-secondarynamenode-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-timelineserver-3.1,not tested,no pkg in pkglist
,oe_test_service_hadoop-zkfc-3.1,not tested,no pkg in pkglist
hadoop,oe_test_service_hadoop-datanode,not tested,no pkg in pkglist
,oe_test_service_hadoop-historyserver,not tested,no pkg in pkglist
,oe_test_service_hadoop-journalnode,not tested,no pkg in pkglist
,oe_test_service_hadoop-namenode,not tested,no pkg in pkglist
,oe_test_service_hadoop-nodemanager,not tested,no pkg in pkglist
,oe_test_service_hadoop-proxyserver,not tested,no pkg in pkglist
,oe_test_service_hadoop-resourcemanager,not tested,no pkg in pkglist
,oe_test_service_hadoop-secondarynamenode,not tested,no pkg in pkglist
,oe_test_service_hadoop-timelineserver,not tested,no pkg in pkglist
,oe_test_service_hadoop-zkfc,not tested,no pkg in pkglist
hbase,oe_test_service_hbase-master,not tested,no pkg in pkglist
,oe_test_service_hbase-regionserver,not tested,no pkg in pkglist
,oe_test_service_hbase-rest,not tested,no pkg in pkglist
,oe_test_service_hbase-thrift,not tested,no pkg in pkglist
,oe_test_service_hbase-zookeeper,not tested,no pkg in pkglist
httplib2,oe_test_httplib2,not tested,no pkg in pkglist
junit4,common_junit,not tested,no pkg in pkglist
kmod-kvdo-issue,oe_test_kvdo_vdo_cpu,not tested,no pkg in pkglist
,oe_test_kvdo_vdo_iocopy,not tested,no pkg in pkglist
libcroco,oe_test_libcroco,not tested,no pkg in pkglist
libdap_20.03,oe_test_libdap_devel_dap_config,not tested,no pkg in pkglist
,oe_test_libdap_getdap,not tested,no pkg in pkglist
,oe_test_libdap_getdap4,not tested,no pkg in pkglist
liblouis,oe_test_liblouis,not tested,no pkg in pkglist
libpng12,oe_test_libpng12,not tested,no pkg in pkglist
linux-sgx,oe_test_service_aesmd,not tested,no pkg in pkglist
,oe_test_service_remount-dev-exec,not tested,no pkg in pkglist
log4cplus,oe_test_log4cplus,not tested,no pkg in pkglist
mcelog,oe_test_mcelog_01,not tested,no pkg in pkglist
,oe_test_mcelog_02,not tested,no pkg in pkglist
,oe_test_service_mcelog,not tested,no pkg in pkglist
meson_0.54,oe_test_meson_0.59_meson_11,not tested,no pkg in pkglist
,oe_test_meson_0.59_meson_18,not tested,no pkg in pkglist
