测试套/软件包名,测试用例名,状态,日志文件,原因
NetworkManager,oe_test_libnetfilter_conntrack,fail,./mugen-riscv/logs/NetworkManager/oe_test_libnetfilter_conntrack/2023-05-25-16_27_41.log,镜像没有预装测试所需的 kernel-headers
OpenIPMI,oe_test_service_ipmi,fail,./mugen-riscv/logs/OpenIPMI/oe_test_service_ipmi/2023-05-25-21_21_10.log,
acl,oe_test_acl_default_kernel_setting,fail,./mugen-riscv/logs/acl/oe_test_acl_default_kernel_setting/2023-05-25-16_29_46.log,未打开 CONFIG_XFS_POSIX_ACL=y
arptables,oe_test_service_arptables,fail,./mugen-riscv/logs/arptables/oe_test_service_arptables/2023-05-25-21_46_57.log,
cachefilesd,oe_test_service_cachefilesd,fail,./mugen-riscv/logs/cachefilesd/oe_test_service_cachefilesd/2023-05-25-13:58:05.log,
ceph,oe_test_target_ceph-fuse,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-fuse/2023-05-25-14:09:22.log,pkg not found/file missing
,oe_test_target_ceph-mds,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-mds/2023-05-25-14:11:16.log,pkg not found/file missing
,oe_test_target_ceph-mgr,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-mgr/2023-05-25-14:13:09.log,pkg not found/file missing
,oe_test_target_ceph-mon,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-mon/2023-05-25-14:15:26.log,pkg not found/file missing
,oe_test_target_ceph-osd,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-osd/2023-05-25-14:17:24.log,pkg not found/file missing
,oe_test_target_ceph-radosgw,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-radosgw/2023-05-25-14:19:20.log,pkg not found/file missing
,oe_test_target_ceph-rbd-mirror,fail,./mugen-riscv/logs/ceph/oe_test_target_ceph-rbd-mirror/2023-05-25-14:21:20.log,pkg not found/file missing
chrony,oe_test_service_chronyd,fail,./mugen-riscv/logs/chrony/oe_test_service_chronyd/2023-05-25-14:08:06.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
cryptsetup,oe_test_encrypt_data,fail,./mugen-riscv/logs/cryptsetup/oe_test_encrypt_data/2023-05-31-17:02:28.log,
,oe_test_luks_encrypted,fail,./mugen-riscv/logs/cryptsetup/oe_test_luks_encrypted/2023-05-31-17:04:33.log,
,oe_test_use_luks,fail,./mugen-riscv/logs/cryptsetup/oe_test_use_luks/2023-05-31-17:07:04.log,
dhcp,oe_test_service_dhcrelay,fail,./mugen-riscv/logs/dhcp/oe_test_service_dhcrelay/2023-05-25-21:40:24.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
dnf,oe_test_dnf_all-repos,fail,./mugen-riscv/logs/dnf/oe_test_dnf_all-repos/2023-05-25-16_43_17.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_enhancement_exclude,fail,./mugen-riscv/logs/dnf/oe_test_dnf_enhancement_exclude/2023-05-25-17_11_41.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_makecache_clean,fail,./mugen-riscv/logs/dnf/oe_test_dnf_makecache_clean/2023-05-25-16_56_12.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_nobest_nodocs_nogpgcheck,fail,./mugen-riscv/logs/dnf/oe_test_dnf_nobest_nodocs_nogpgcheck/2023-05-25-17_16_55.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_priority,fail,./mugen-riscv/logs/dnf/oe_test_dnf_priority/2023-05-25-17_18_28.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_provides_randomwait,fail,./mugen-riscv/logs/dnf/oe_test_dnf_provides_randomwait/2023-05-25-17_19_15.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_repeat-install,fail,./mugen-riscv/logs/dnf/oe_test_dnf_repeat-install/2023-05-25-17_23_20.log,oerv 和 x86 的软件源结构不同
dracut,oe_test_service_dracut-shutdown,fail,./mugen-riscv/logs/dracut/oe_test_service_dracut-shutdown/2023-05-26-00:26:32.log,preinstall absent/systemd unit restart failure/systemd unit runtime error
fcoe-utils,oe_test_service_fcoe,fail,./mugen-riscv/logs/fcoe-utils/oe_test_service_fcoe/2023-05-26-14:16:43.log,Job for fcoe.service failed because the control process exited with error code.
freeradius,oe_test_freeradius_freeradius-utils_rad_counter,fail,./mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_rad_counter/2023-05-26-17:57:11.log,
,oe_test_freeradius_freeradius-utils_radclient,fail,./mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_radclient/2023-05-26-17:33:18.log,
