测试套/软件包名,测试用例名,状态,日志文件,原因
perl-Pod-Markdown,oe_test_perl-Pod-Markdown_pod2markdown,success,./mugen-riscv/logs/perl-Pod-Markdown/oe_test_perl-Pod-Markdown_pod2markdown/2023-04-26-18:50:48.log,None
netperf,oe_test_netperf_basic_command,success,./mugen-riscv/logs/netperf/oe_test_netperf_basic_command/2023-04-26-11:26:08.log,None
,oe_test_netperf_diff_connect_model,success,./mugen-riscv/logs/netperf/oe_test_netperf_diff_connect_model/2023-04-26-11:30:03.log,None
,oe_test_netperf_remote_command,success,./mugen-riscv/logs/netperf/oe_test_netperf_remote_command/2023-04-26-11:33:53.log,None
tftp,oe_test_socket_tftp,success,./mugen-riscv/logs/tftp/oe_test_socket_tftp/2023-04-27-04:28:12.log,None
,oe_test_service_tftp,success,./mugen-riscv/logs/tftp/oe_test_service_tftp/2023-04-27-04:26:22.log,None
smoke-module,oe_test_module,success,./mugen-riscv/logs/smoke-module/oe_test_module/2023-04-29-02:35:23.log,None
stunnel,oe_test_service_stunnel,success,./mugen-riscv/logs/stunnel/oe_test_service_stunnel/2023-04-27-03:49:14.log,None
portreserve,oe_test_service_portreserve,success,./mugen-riscv/logs/portreserve/oe_test_service_portreserve/2023-04-26-19:47:10.log,None
sqlite-jdbc,oe_test_sqlite-jdbc_connect,success,./mugen-riscv/logs/sqlite-jdbc/oe_test_sqlite-jdbc_connect/2023-04-27-03:07:48.log,None
sendmail,oe_test_service_sm-client,success,./mugen-riscv/logs/sendmail/oe_test_service_sm-client/2023-04-27-02:53:16.log,None
,oe_test_service_sendmail,success,./mugen-riscv/logs/sendmail/oe_test_service_sendmail/2023-04-27-02:44:41.log,None
oddjob,oe_test_service_oddjobd,success,./mugen-riscv/logs/oddjob/oe_test_service_oddjobd/2023-04-26-12:16:07.log,None
opencc,oe_test_opencc_01,success,./mugen-riscv/logs/opencc/oe_test_opencc_01/2023-04-26-12:23:34.log,None
