测试套/软件包名,测试用例名,状态,日志文件,原因
FS_File,oe_test_FSIO_check_alias,fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_check_alias/2023-08-09-02_17_51.log,grep: /root/.bashrc: No such file or directory，测试镜像中bash环境配置文件缺失
ModemManager,oe_test_service_ModemManager,fail,./oe-rv2309/mugen-riscv/logs/ModemManager/oe_test_service_ModemManager/2023-08-08-16_16_45.log,Failed to restart ModemManager.service: Unit polkit.service not found，镜像没有预装 polkit 软件包
amanda,oe_test_amanda_ambackup,fail,./oe-rv2309/mugen-riscv/logs/amanda/oe_test_amanda_ambackup/2023-08-12-20_44_00.log,
,oe_test_amanda_amssl,fail,./oe-rv2309/mugen-riscv/logs/amanda/oe_test_amanda_amssl/2023-08-12-20_46_05.log,
asciidoc,oe_test_asciidoc_a2x_03,fail,./oe-rv2309/mugen-riscv/logs/asciidoc/oe_test_asciidoc_a2x_03/2023-08-08-10_35_01.log,
bind,oe_test_service_named,fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named/2023-08-09-04_13_07.log,源中无bind软件包，可能尚未构建完成
,oe_test_service_named-chroot,fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named-chroot/2023-08-09-04_10_55.log,源中无bind软件包，可能尚未构建完成
,oe_test_service_named-chroot-setup,fail,./oe-rv2309/mugen-riscv/logs/bind/oe_test_service_named-chroot-setup/2023-08-09-04_09_35.log,源中无bind软件包，可能尚未构建完成
clevis,oe_test_tang_nbde,fail,./oe-rv2309/mugen-riscv/logs/clevis/oe_test_tang_nbde/2023-08-08-13_49_19.log,软件包 clevis 安装依赖出错 nothing provides libcrypto.so.1.1()(64bit) libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)
cockpit,oe_test_service_cockpit-wsinstance-http,fail,./oe-rv2309/mugen-riscv/logs/cockpit/oe_test_service_cockpit-wsinstance-http/2023-08-08-10_39_01.log,
dbus,oe_test_socket_dbus,fail,./oe-rv2309/mugen-riscv/logs/dbus/oe_test_socket_dbus/2023-08-08-11_14_29.log,重新测试通过
dnf,oe_test_dnf_check_diffenert-packages,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_check_diffenert-packages/2023-08-08-11_15_02.log,dnf check-update 异常推出，返回值 100 ，没有打印报错信息
fio,oe_test_fio_002,fail,./oe-rv2309/mugen-riscv/logs/fio/oe_test_fio_002/2023-08-08-14_28_48.log,测试多个 fio-dedupe 命令测试失败，原因未知
,oe_test_fio_003,fail,./oe-rv2309/mugen-riscv/logs/fio/oe_test_fio_003/2023-08-08-15_05_36.log,测试超时，手动重测通过
gnome-shell,oe_test_gnome-shell,fail,./oe-rv2309/mugen-riscv/logs/gnome-shell/oe_test_gnome-shell/2023-08-09-05_00_14.log,软件包安装时发生依赖错误
gsl,oe_test_gsl_histogram_01,fail,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_histogram_01/2023-08-09-04_04_19.log,2309中gsl对应版本为2.7.1，软件命令行使用格式有所改变，但mugen脚本没有更新
iperf3,oe_test_iperf3_command_clientAndShared,fail,./oe-rv2309/mugen-riscv/logs/iperf3/oe_test_iperf3_command_clientAndShared/2023-08-12-22_28_55.log,
,oe_test_iperf3_command_serverAndBase,fail,./oe-rv2309/mugen-riscv/logs/iperf3/oe_test_iperf3_command_serverAndBase/2023-08-12-22_29_59.log,
ipvsadm,oe_test_service_ipvsadm,fail,./oe-rv2309/mugen-riscv/logs/ipvsadm/oe_test_service_ipvsadm/2023-08-12-16_57_22.log,
