测试套/软件包名,测试用例名,状态,日志文件,原因
FS_FileSystem,oe_test_FSIO_change_fs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-08-09-02_13_49.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext3,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-08-09-02_14_46.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext4,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-08-09-02_15_08.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_squashfs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_squashfs/2023-08-11-02_29_40.log,软件squashfs-tools未安装
,oe_test_FSIO_create_xfs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_xfs/2023-08-09-02_15_26.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_dd_mkfs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_dd_mkfs/2023-08-11-00_24_13.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_loop_fs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_loop_fs/2023-08-11-00_32_47.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_automount,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_automount/2023-08-11-00_33_37.log,ssh连接不稳定，加之虚拟机重启后可能失联导致超时失败
,oe_test_FSIO_mount_block_dir,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_block_dir/2023-08-09-02_21_27.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_character_dir,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_character_dir/2023-08-11-01_04_36.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_empty_dir,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_empty_dir/2023-08-11-01_05_15.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_nonempty_dir,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_nonempty_dir/2023-08-09-02_31_18.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_reboot,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_reboot/2023-08-11-01_18_27.log,ssh连接不稳定，加之虚拟机重启后可能失联导致超时失败
,oe_test_FSIO_mount_remount,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_remount/2023-08-09-02_31_49.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_umount_xfs,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_umount_xfs/2023-08-09-02_33_12.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_dax,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_dax/2023-08-09-02_33_42.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_discard,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_discard/2023-08-09-02_34_47.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_nodiscard,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_nodiscard/2023-08-09-02_35_08.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_ro,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_ro/2023-08-09-02_35_30.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_rw,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_rw/2023-08-09-02_35_53.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_mount_xfs_sync,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_mount_xfs_sync/2023-08-09-02_36_15.log,preinstall absent，软件xfsprogs未安装
