测试套/软件包名,测试用例名,状态,日志文件,原因
FS_File,oe_test_FSIO_act_file_lack_inode,fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_act_file_lack_inode/2023-08-09-02_14_17.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_chmod,fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_chmod/2023-08-09-02_18_47.log,mugen脚本问题，检测的字符多了个点
,oe_test_FSIO_filefrag,fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_filefrag/2023-08-09-02_33_23.log,preinstall absent，软件xfsprogs未安装
FS_FileSystem,oe_test_FSIO_check_fs_type,fail,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_type/2023-08-11-00_22_04.log,The system doesn't support ext4.
acl,oe_test_access_providepam,fail,./oe-rv2309/mugen-riscv/logs/acl/oe_test_access_providepam/2023-08-08-09_52_11.log,pam_systemd.so不存在
amanda,oe_test_amanda_amcheck,fail,./oe-rv2309/mugen-riscv/logs/amanda/oe_test_amanda_amcheck/2023-08-12-20_37_26.log,
,oe_test_amanda_dump,fail,./oe-rv2309/mugen-riscv/logs/amanda/oe_test_amanda_dump/2023-08-12-20_54_56.log,
anaconda,oe_test_service_zram,fail,./oe-rv2309/mugen-riscv/logs/anaconda/oe_test_service_zram/2023-08-08-03_51_46.log,
audit,oe_test_audit_ausearch,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_ausearch/2025-08-09-03_30_50.log,软件未安装
,oe_test_audit_available_disk_space,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_available_disk_space/2023-08-09-03_21_32.log,软件未安装
,oe_test_audit_count_number_of_event,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_number_of_event/2023-08-09-03_02_05.log,软件未安装
,oe_test_audit_count_time,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_count_time/2023-08-09-03_01_50.log,软件未安装
,oe_test_audit_event_log,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_event_log/2025-08-09-03_29_41.log,软件未安装
,oe_test_audit_fetch_file_in_order,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_fetch_file_in_order/2023-08-09-03_00_44.log,软件未安装
,oe_test_audit_max_log_file_ignore,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_ignore/2023-08-09-03_05_20.log,软件未安装
,oe_test_audit_max_log_file_keep_logs,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_keep_logs/2023-08-09-03_20_11.log,软件未安装
,oe_test_audit_max_log_file_rotate,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_rotate/2023-08-09-03_04_01.log,软件未安装
,oe_test_audit_max_log_file_suspend,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_suspend/2023-08-09-03_18_21.log,软件未安装
,oe_test_audit_max_log_file_syslog,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_max_log_file_syslog/2023-08-09-03_16_30.log,软件未安装
,oe_test_audit_monitor_dictionary_access,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_dictionary_access/2023-08-09-02_56_10.log,软件未安装
,oe_test_audit_monitor_do_command,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_do_command/2023-08-09-02_57_00.log,软件未安装
,oe_test_audit_monitor_file_access,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_file_access/2023-08-09-02_25_59.log,软件未安装
,oe_test_audit_monitor_network_visit,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_network_visit/2023-08-09-02_57_59.log,软件未安装
,oe_test_audit_monitor_system_use,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_monitor_system_use/2023-08-09-02_56_33.log,软件未安装
,oe_test_audit_other,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_other/2025-08-09-03_30_01.log,软件未安装
,oe_test_audit_rule_conflict_strategy,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_conflict_strategy/2023-08-09-02_59_56.log,软件未安装
,oe_test_audit_rule_contact_strategy,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_contact_strategy/2023-08-09-02_59_12.log,软件未安装
,oe_test_audit_rule_fetch_from_rule,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_rule_fetch_from_rule/2023-08-09-03_00_25.log,软件未安装
,oe_test_audit_show_event_list,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_show_event_list/2023-08-09-03_02_20.log,软件未安装
,oe_test_audit_track_designated_access,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_track_designated_access/2023-08-09-02_58_19.log,软件未安装
,oe_test_audit_use_d_audit,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_use_d_audit/2023-08-09-02_58_35.log,软件未安装
,oe_test_audit_use_w_audit,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_use_w_audit/2023-08-09-02_58_54.log,软件未安装
,oe_test_audit_user_build_connection,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_audit_user_build_connection/2023-08-09-03_02_38.log,软件未安装
,oe_test_aulastlog,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_aulastlog/2025-08-09-03_31_22.log,软件未安装
,oe_test_inject_time_fault,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_inject_time_fault/2023-08-09-03_27_02.log,软件未安装
,oe_test_service_auditd,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_service_auditd/2025-08-09-03_28_52.log,软件未安装
,oe_test_start_audit,fail,./oe-rv2309/mugen-riscv/logs/audit/oe_test_start_audit/2025-08-09-03_30_30.log,软件未安装
cachefilesd,oe_test_service_cachefilesd,fail,./oe-rv2309/mugen-riscv/logs/cachefilesd/oe_test_service_cachefilesd/2023-08-09-04_52_37.log,/dev/cachefiles 文件不存在导致 cachefilesd.service 启动失败
chrony,oe_test_service_chrony-wait,fail,./oe-rv2309/mugen-riscv/logs/chrony/oe_test_service_chrony-wait/2023-08-13-00_46_21.log,
,oe_test_service_chronyd,fail,./oe-rv2309/mugen-riscv/logs/chrony/oe_test_service_chronyd/2023-08-13-00_45_04.log,
chrpath,oe_test_chrpath,fail,./oe-rv2309/mugen-riscv/logs/chrpath/oe_test_chrpath/2023-08-08-16_24_40.log,错误一致
clevis,oe_test_high_nbde,fail,./oe-rv2309/mugen-riscv/logs/clevis/oe_test_high_nbde/2023-08-08-13_18_37.log,待测软件包 cryptsetup-reencrypt 不存在
cmake,oe_test_ccmake,fail,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ccmake/2023-08-09-03_44_59.log,expect问题导致无法正常测试，在2303上两种架构均出现此问题，可能需要手动执行脚本检测缺陷
,oe_test_ccmake3,fail,./oe-rv2309/mugen-riscv/logs/cmake/oe_test_ccmake3/2023-08-09-03_46_47.log,expect问题导致无法正常测试，在2303上两种架构均出现此问题，可能需要手动执行脚本检测缺陷
crontabs,oe_test_crontabs,fail,./oe-rv2309/mugen-riscv/logs/crontabs/oe_test_crontabs/2023-08-08-11_32_27.log,Cannot obtain SELinux process context
cryptsetup,oe_test_encrypt_data,fail,./oe-rv2309/mugen-riscv/logs/cryptsetup/oe_test_encrypt_data/2023-08-13-20_59_10.log,
,oe_test_luks_encrypted,fail,./oe-rv2309/mugen-riscv/logs/cryptsetup/oe_test_luks_encrypted/2023-08-13-20_59_50.log,
,oe_test_use_luks,fail,./oe-rv2309/mugen-riscv/logs/cryptsetup/oe_test_use_luks/2023-08-13-20_58_23.log,
dbxtool,oe_test_service_dbxtool,fail,./oe-rv2309/mugen-riscv/logs/dbxtool/oe_test_service_dbxtool/2023-08-13-02_57_48.log,
dhcp,oe_test_service_dhcpd,fail,./oe-rv2309/mugen-riscv/logs/dhcp/oe_test_service_dhcpd/2023-08-08-10_21_02.log,
,oe_test_service_dhcpd6,fail,./oe-rv2309/mugen-riscv/logs/dhcp/oe_test_service_dhcpd6/2023-08-08-10_20_22.log,
,oe_test_service_dhcrelay,fail,./oe-rv2309/mugen-riscv/logs/dhcp/oe_test_service_dhcrelay/2023-08-08-10_21_40.log,
dmidecode,oe_test_dmidecode,fail,./oe-rv2309/mugen-riscv/logs/dmidecode/oe_test_dmidecode/2023-08-08-11_34_20.log,测试依赖 dmidecode 命令，该软件包没有预装也没有被显式安装
dnf,oe_test_dnf_all-repos,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_all-repos/2023-08-08-10_56_02.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_enabled_enablerepo,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_enabled_enablerepo/2023-08-08-11_33_50.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_enhancement_exclude,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_enhancement_exclude/2023-08-08-11_50_28.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_list_mark,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_list_mark/2023-08-08-11_59_07.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_makecache_clean,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_makecache_clean/2023-08-08-11_18_43.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_nobest_nodocs_nogpgcheck,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_nobest_nodocs_nogpgcheck/2023-08-08-12_06_25.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_priority,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_priority/2023-08-08-12_11_04.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_provides_randomwait,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_provides_randomwait/2023-08-08-12_13_40.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_reinstall_repoinfo,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_reinstall_repoinfo/2023-08-08-12_18_58.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_repeat-install,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_repeat-install/2023-08-08-12_27_12.log,oerv 和 x86 的软件源结构不同
,oe_test_dnf_repeat-upgrade-downgrade,fail,./oe-rv2309/mugen-riscv/logs/dnf/oe_test_dnf_repeat-upgrade-downgrade/2023-08-08-12_58_00.log,oerv 和 x86 的软件源结构不同
ebtables,oe_test_service_ebtables,fail,./oe-rv2309/mugen-riscv/logs/ebtables/oe_test_service_ebtables/2023-08-13-03_04_20.log,
fftw,oe_test_fftw_fftw-wisdom-to-conf,fail,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom-to-conf/2023-08-09-03_38_21.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftw-wisdom_02,fail,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftw-wisdom_02/2023-08-09-03_40_33.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftwf-wisdom_02,fail,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwf-wisdom_02/2023-08-09-03_43_44.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
,oe_test_fftw_fftwl-wisdom_02,fail,./oe-rv2309/mugen-riscv/logs/fftw/oe_test_fftw_fftwl-wisdom_02/2023-08-09-03_46_58.log,2303x86和riscv中均出现相同问题，怀疑为上游缺陷
fio,oe_test_fio_001,fail,./oe-rv2309/mugen-riscv/logs/fio/oe_test_fio_001/2023-08-08-14_00_05.log,手动未复现
,oe_test_fio_004,fail,./oe-rv2309/mugen-riscv/logs/fio/oe_test_fio_004/2023-08-08-15_36_51.log,手动未复现
firewalld,oe_test_firewalld_add_newservice,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_add_newservice/2023-08-11-10_22_07.log,软件firewalld未安装
,oe_test_firewalld_add_port,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_add_port/2023-08-11-10_25_12.log,软件firewalld未安装
,oe_test_firewalld_add_service,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_add_service/2023-08-11-10_29_43.log,软件firewalld未安装
,oe_test_firewalld_add_sourceip,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_add_sourceip/2023-08-11-10_31_32.log,软件firewalld未安装
,oe_test_firewalld_add_sourceport,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_add_sourceport/2023-08-11-10_31_52.log,软件firewalld未安装
,oe_test_firewalld_addport_udp,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_addport_udp/2023-08-11-10_27_02.log,软件firewalld未安装
,oe_test_firewalld_allow_zones,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_allow_zones/2023-08-11-10_32_12.log,软件firewalld未安装
,oe_test_firewalld_block_icmp,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_block_icmp/2023-08-11-10_34_32.log,软件firewalld未安装
,oe_test_firewalld_change_interface,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_change_interface/2023-08-11-10_35_02.log,软件firewalld未安装
,oe_test_firewalld_change_xml,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_change_xml/2023-08-11-10_36_46.log,软件firewalld未安装
,oe_test_firewalld_directrule_acceptdport,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_directrule_acceptdport/2023-08-11-10_38_32.log,软件firewalld未安装
,oe_test_firewalld_dnat,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_dnat/2023-08-11-10_40_15.log,软件firewalld未安装
,oe_test_firewalld_dropzone_service,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_dropzone_service/2023-08-11-10_43_11.log,软件firewalld未安装
,oe_test_firewalld_forward_nat,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_forward_nat/2023-08-11-10_45_02.log,软件firewalld未安装
,oe_test_firewalld_getzone,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_getzone/2023-08-09-02_14_45.log,软件firewalld未安装
,oe_test_firewalld_ip_camouflage,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_ip_camouflage/2023-08-09-02_15_05.log,软件firewalld未安装
,oe_test_firewalld_list,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_list/2023-08-09-02_15_25.log,软件firewalld未安装
,oe_test_firewalld_lockdown,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_lockdown/2023-08-09-02_15_44.log,软件firewalld未安装
,oe_test_firewalld_log_denied,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_log_denied/2023-08-09-02_16_03.log,软件firewalld未安装
,oe_test_firewalld_new_zone,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_new_zone/2023-08-09-02_17_57.log,软件firewalld未安装
,oe_test_firewalld_panic_on,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_panic_on/2023-08-11-10_52_29.log,软件firewalld未安装
,oe_test_firewalld_port_map,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_port_map/2023-08-11-10_53_33.log,软件firewalld未安装
,oe_test_firewalld_protocol_tcp,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_protocol_tcp/2023-08-11-10_56_13.log,软件firewalld未安装
,oe_test_firewalld_richrule_acceptsource,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_acceptsource/2023-08-11-10_58_54.log,软件firewalld未安装
,oe_test_firewalld_richrule_allowippak,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_allowippak/2023-08-11-11_00_38.log,软件firewalld未安装
,oe_test_firewalld_richrule_blacklist,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_blacklist/2023-08-11-11_02_26.log,软件firewalld未安装
,oe_test_firewalld_richrule_dropicmppack,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_dropicmppack/2023-08-11-11_03_16.log,软件firewalld未安装
,oe_test_firewalld_richrule_dropipv4pak,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_dropipv4pak/2023-08-11-11_03_48.log,软件firewalld未安装
,oe_test_firewalld_richrule_forwardport,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_richrule_forwardport/2023-08-11-11_05_39.log,软件firewalld未安装
,oe_test_firewalld_runtime_permanent,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_runtime_permanent/2023-08-09-02_18_17.log,软件firewalld未安装
,oe_test_firewalld_runtime_rules_in_effect,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_runtime_rules_in_effect/2023-08-11-11_17_44.log,软件firewalld未安装
,oe_test_firewalld_set_defaultzone,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_set_defaultzone/2023-08-11-11_08_48.log,软件firewalld未安装
,oe_test_firewalld_set_ipset,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_set_ipset/2023-08-11-11_10_36.log,软件firewalld未安装
,oe_test_firewalld_set_target,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_set_target/2023-08-09-02_18_54.log,软件firewalld未安装
,oe_test_firewalld_start_check,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_start_check/2023-08-09-02_19_14.log,软件firewalld未安装
,oe_test_firewalld_start_status,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_start_status/2023-08-09-02_19_31.log,软件firewalld未安装
,oe_test_firewalld_start_stop,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_start_stop/2023-08-09-02_19_49.log,软件firewalld未安装
,oe_test_firewalld_whitelist_command,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_command/2023-08-09-02_20_20.log,软件firewalld未安装
,oe_test_firewalld_whitelist_contexts,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_contexts/2023-08-09-02_20_44.log,软件firewalld未安装
,oe_test_firewalld_whitelist_uids,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_uids/2023-08-09-02_21_02.log,软件firewalld未安装
,oe_test_firewalld_whitelist_user,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_whitelist_user/2023-08-09-02_21_22.log,软件firewalld未安装
,oe_test_firewalld_zone_add_service,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_zone_add_service/2023-08-09-02_21_44.log,软件firewalld未安装
,oe_test_firewalld_zone_migration,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_firewalld_zone_migration/2023-08-11-12_18_03.log,软件firewalld未安装
,oe_test_service_firewalld,fail,./oe-rv2309/mugen-riscv/logs/firewalld/oe_test_service_firewalld/2023-08-09-02_22_01.log,软件firewalld未安装
fontconfig,oe_test_fontconfig_fc-list,fail,./oe-rv2309/mugen-riscv/logs/fontconfig/oe_test_fontconfig_fc-list/2023-08-08-12_14_11.log,Broken testcase，测试不存在
freeradius,oe_test_freeradius_freeradius-utils_rad_counter,fail,./oe-rv2309/mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_rad_counter/2023-08-12-18_34_49.log,
,oe_test_freeradius_freeradius-utils_radclient2,fail,./oe-rv2309/mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_radclient2/2023-08-12-18_32_13.log,
