测试套/软件包名,测试用例名,状态,日志文件,原因
openssh,oe_test_openssh_cipher,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openssh/oe_test_openssh_cipher/2023-09-12-13:29:53.log,远程机失联
,oe_test_sec_jump_login,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openssh/oe_test_sec_jump_login/2023-09-12-13:33:34.log,远程机失联
,oe_test_sec_ssh,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openssh/oe_test_sec_ssh/2023-09-12-13:32:45.log,远程机失联
,oe_test_service_sshd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/openssh/oe_test_service_sshd/2023-09-12-13:30:38.log,systemd enable后找不到对应文件
kernel,oe_test_check_huge_task,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_check_huge_task/2023-09-12-13:36:05.log,x86 fail
,oe_test_tcm_loop,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_tcm_loop/2023-09-12-13:39:02.log,x86 fail
,oe_test_fnic,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_fnic/2023-09-12-13:38:01.log,x86 fail
,oe_test_io_sched,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_io_sched/2023-09-12-13:33:53.log,x86 fail
,oe_test_libfc,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_libfc/2023-09-12-13:38:17.log,x86 fail
,oe_test_cpu_rand,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_cpu_rand/2023-09-12-13:35:06.log,x86 fail
,oe_test_hinic,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_hinic/2023-09-12-13:34:35.log,x86 fail
,oe_test_swap_compress,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_swap_compress/2023-09-12-13:35:36.log,x86 fail
,oe_test_kernel_cmd_01,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_kernel_cmd_01/2023-09-12-13:29:52.log,原因相同，qemu输出与grep预期不同
,oe_test_hifc,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_hifc/2023-09-12-13:37:45.log,x86 fail
