测试套/软件包名,测试用例名,状态,与23RC1对比,日志文件,原因
FS_File,oe_test_FSIO_chmod,fail,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_chmod/2023-10-11-06:52:00.log,原因相同，软件未预装
,oe_test_FSIO_rename_file_fail,success,RC4fail,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_rename_file_fail/2023-10-11-07:04:13.log,None
,oe_test_FSIO_act_alias,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_act_alias/2023-10-11-06:42:21.log,None
,oe_test_FSIO_act_file_lack_inode,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_act_file_lack_inode/2023-10-11-06:42:46.log,None
,oe_test_FSIO_act_hardlink,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_act_hardlink/2023-10-11-06:50:40.log,None
,oe_test_FSIO_bzip2,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_bzip2/2023-10-11-06:50:51.log,None
,oe_test_FSIO_change_proc,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_change_proc/2023-10-11-06:51:07.log,None
,oe_test_FSIO_chattr,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_chattr/2023-10-11-06:51:17.log,None
,oe_test_FSIO_check_alias,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_check_alias/2023-10-11-06:51:27.log,None
,oe_test_FSIO_check_block,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_check_block/2023-10-11-06:51:36.log,None
,oe_test_FSIO_check_file_info,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_check_file_info/2023-10-11-06:51:45.log,None
,oe_test_FSIO_chown,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_chown/2023-10-11-06:52:13.log,None
,oe_test_FSIO_concurrency_read_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_concurrency_read_file/2023-10-11-06:52:25.log,None
,oe_test_FSIO_concurrency_write_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_concurrency_write_file/2023-10-11-06:54:33.log,None
,oe_test_FSIO_cp_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_cp_file/2023-10-11-06:59:53.log,None
,oe_test_FSIO_create_block,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_block/2023-10-11-07:00:09.log,None
,oe_test_FSIO_create_character,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_character/2023-10-11-07:00:25.log,None
,oe_test_FSIO_create_hardlink_fail,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_hardlink_fail/2023-10-11-07:00:40.log,None
,oe_test_FSIO_create_mv_hardlink,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_mv_hardlink/2023-10-11-07:00:54.log,None
,oe_test_FSIO_create_softlink,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_softlink/2023-10-11-07:01:09.log,None
,oe_test_FSIO_create_softlink_diff_fs,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_softlink_diff_fs/2023-10-11-07:01:20.log,None
,oe_test_FSIO_create_softlink_dir,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_softlink_dir/2023-10-11-07:01:35.log,None
,oe_test_FSIO_create_softlink_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_create_softlink_file/2023-10-11-07:01:45.log,None
,oe_test_FSIO_dd_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_dd_file/2023-10-11-07:01:55.log,None
,oe_test_FSIO_filefrag,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_filefrag/2023-10-11-07:02:09.log,None
,oe_test_FSIO_gzip,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_gzip/2023-10-11-07:02:24.log,None
,oe_test_FSIO_gzip_overfs,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_gzip_overfs/2023-10-11-07:02:39.log,None
,oe_test_FSIO_modify_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_modify_file/2023-10-11-07:02:54.log,None
,oe_test_FSIO_modify_magicfile,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_modify_magicfile/2023-10-11-07:03:17.log,None
,oe_test_FSIO_mv_file_1,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_mv_file_1/2023-10-11-07:03:27.log,None
,oe_test_FSIO_mv_file_2,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_mv_file_2/2023-10-11-07:03:42.log,None
,oe_test_FSIO_rename_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_rename_file/2023-10-11-07:03:57.log,None
,oe_test_FSIO_rm_file,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_rm_file/2023-10-11-07:04:27.log,None
,oe_test_FSIO_rm_hardlink,success,same,./oe-rv2309/mugen-riscv_rc5/logs/FS_File/oe_test_FSIO_rm_hardlink/2023-10-11-07:04:37.log,None
