测试套/软件包名,测试用例名,状态,日志文件,原因
apr,oe_test_apr_001,success,./mugen-riscv/logs/apr/oe_test_apr_001/2023-08-31-12_37_24.log,None
,oe_test_apr_002,success,./mugen-riscv/logs/apr/oe_test_apr_002/2023-08-31-12_38_25.log,None
arptables,oe_test_service_arptables,success,./mugen-riscv/logs/arptables/oe_test_service_arptables/2023-09-03-02_29_37.log,None
attr,oe_test_attr,success,./mugen-riscv/logs/attr/oe_test_attr/2023-08-31-13_30_59.log,None
authd,oe_test_socket_auth,success,./mugen-riscv/logs/authd/oe_test_socket_auth/2023-09-03-02_31_30.log,None
automake,oe_test_automake,success,./mugen-riscv/logs/automake/oe_test_automake/2023-09-03-01_54_45.log,None
babeltrace,oe_test_babeltrace,success,./mugen-riscv/logs/babeltrace/oe_test_babeltrace/2023-08-31-13_31_21.log,None
bind,oe_test_service_named-chroot-setup,success,./mugen-riscv/logs/bind/oe_test_service_named-chroot-setup/2023-08-31-06_15_12.log,None
,oe_test_service_named-chroot,success,./mugen-riscv/logs/bind/oe_test_service_named-chroot/2023-08-31-06_16_56.log,None
,oe_test_service_named-setup-rndc,success,./mugen-riscv/logs/bind/oe_test_service_named-setup-rndc/2023-08-31-06_18_44.log,None
,oe_test_service_named,success,./mugen-riscv/logs/bind/oe_test_service_named/2023-08-31-06_20_00.log,None
bison,oe_test_bison,success,./mugen-riscv/logs/bison/oe_test_bison/2023-08-31-14_42_35.log,None
bluez,oe_test_service_bluetooth-mesh,success,./mugen-riscv/logs/bluez/oe_test_service_bluetooth-mesh/2023-08-31-12_37_40.log,None
,oe_test_service_bluetooth,success,./mugen-riscv/logs/bluez/oe_test_service_bluetooth/2023-08-31-12_37_50.log,None
bolt,oe_test_service_bolt,success,./mugen-riscv/logs/bolt/oe_test_service_bolt/2023-09-03-02_32_19.log,None
byacc,oe_test_byacc_byacc_01,success,./mugen-riscv/logs/byacc/oe_test_byacc_byacc_01/2023-09-02-18_35_23.log,None
,oe_test_byacc_byacc_02,success,./mugen-riscv/logs/byacc/oe_test_byacc_byacc_02/2023-09-02-18_37_25.log,None
,oe_test_byacc_yacc_01,success,./mugen-riscv/logs/byacc/oe_test_byacc_yacc_01/2023-09-02-18_39_23.log,None
