测试套/软件包名,测试用例名,状态,日志文件,原因
kernel,oe_test_service_cpupower,fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_service_cpupower/2023-09-12-13:32:58.log,preinstall absent
,oe_test_snd_aloop,fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_snd_aloop/2023-09-12-13:34:20.log,kernel module absent
,oe_test_lpfc,fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_lpfc/2023-09-12-13:35:50.log,kernel module absent
,oe_test_nbd,fail,./oe-rv2309/mugen-riscv_v4/logs/kernel/oe_test_nbd/2023-09-12-13:37:32.log,None
nfs-utils,oe_test_service_rpc-statd,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_rpc-statd/2023-09-12-13:46:41.log,None
,oe_test_service_nfs,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs/2023-09-12-13:43:32.log,None
,oe_test_service_nfs-lock,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs-lock/2023-09-12-13:40:00.log,None
,oe_test_service_nfs-mountd,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs-mountd/2023-09-12-13:40:51.log,None
,oe_test_service_nfs-idmapd,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs-idmapd/2023-09-12-13:38:31.log,None
,oe_test_service_nfs-idmap,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs-idmap/2023-09-12-13:39:16.log,None
,oe_test_service_nfs-server,fail,./oe-rv2309/mugen-riscv_v4/logs/nfs-utils/oe_test_service_nfs-server/2023-09-12-13:42:19.log,None
bind,oe_test_service_named-chroot,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named-chroot/2023-09-12-14:51:53.log,None
,oe_test_service_named-chroot-setup,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named-chroot-setup/2023-09-12-14:50:04.log,None
,oe_test_service_named,fail,./oe-rv2309/mugen-riscv_v4/logs/bind/oe_test_service_named/2023-09-12-14:54:26.log,None
httpd,oe_test_service_htcacheclean,fail,./oe-rv2309/mugen-riscv_v4/logs/httpd/oe_test_service_htcacheclean/2023-09-12-14:58:03.log,None
,oe_test_service_httpd,fail,./oe-rv2309/mugen-riscv_v4/logs/httpd/oe_test_service_httpd/2023-09-12-15:00:15.log,None
openscap,oe_test_scanning_system,fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_scanning_system/2023-09-12-14:47:25.log,None
,oe_test_openscap_01,fail,./oe-rv2309/mugen-riscv_v4/logs/openscap/oe_test_openscap_01/2023-09-12-14:17:19.log,None
geoclue2,oe_test_service_geoclue,fail,./oe-rv2309/mugen-riscv_v4/logs/geoclue2/oe_test_service_geoclue/2023-09-12-16:01:07.log,None
ypbind,oe_test_service_ypbind,fail,./oe-rv2309/mugen-riscv_v4/logs/ypbind/oe_test_service_ypbind/2023-09-12-16:34:07.log,None
os-storage,oe_test_storage_lvm_set_regionsize,fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_lvm_set_regionsize/2023-09-13-10:42:41.log,None
,oe_test_storage_nfs_start_server,fail,./oe-rv2309/mugen-riscv_v4/logs/os-storage/oe_test_storage_nfs_start_server/2023-09-13-10:38:15.log,None
systemd,oe_test_service_systemd-modules-load,fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-modules-load/2023-09-13-21:52:36.log,None
,oe_test_service_systemd-tmpfiles-clean,fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-tmpfiles-clean/2023-09-13-22:00:55.log,None
,oe_test_socket_syslog,fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_syslog/2023-09-13-22:05:09.log,
