测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
os-basic,oe_test_c++,fail,03fail/09fail/unknown/diff,path to logs,说明原因，像只在03/09fail的在对比处填写03/09fail，两者均fail的填写缺陷相同（unknown）或不同（diff），表格名字统一为failureCause.csv

pbzip2,oe_test_pbzip2_01,succeed,unknown,./mugen-riscv/logs/pbzip2/oe_test_pbzip2_01/2023-08-08-10:45:42.log,
,oe_test_pbzip2_03,failed,unknown,./mugen-riscv/logs/pbzip2/oe_test_pbzip2_03/2023-08-08-10:47:03.log,
,oe_test_pbzip2_02,succeed,unknown,./mugen-riscv/logs/pbzip2/oe_test_pbzip2_02/2023-08-08-10:46:22.log,
libunistring,oe_test_libunistring,succeed,unknown,./mugen-riscv/logs/libunistring/oe_test_libunistring/2023-08-08-11:51:45.log,
pkgconf,oe_test_pkgconf,succeed,unknown,./mugen-riscv/logs/pkgconf/oe_test_pkgconf/2023-08-08-12:03:52.log,
spice-vdagent,oe_test_service_spice-vdagentd,succeed,unknown,./mugen-riscv/logs/spice-vdagent/oe_test_service_spice-vdagentd/2023-08-08-11:17:04.log,
,oe_test_socket_spice-vdagentd,succeed,unknown,./mugen-riscv/logs/spice-vdagent/oe_test_socket_spice-vdagentd/2023-08-08-11:18:18.log,
rdate,oe_test_rdate,succeed,03fail,./mugen-riscv/logs/rdate/oe_test_rdate/2023-08-08-12:09:36.log,
javapackages-tools,oe_test_javapackages-local,succeed,unknown,./mugen-riscv/logs/javapackages-tools/oe_test_javapackages-local/2023-08-08-10:19:26.log,
,oe_test_build-classpath,succeed,03fail,./mugen-riscv/logs/javapackages-tools/oe_test_build-classpath/2023-08-08-10:16:14.log,
,oe_test_gradle-local,failed,unknown,./mugen-riscv/logs/javapackages-tools/oe_test_gradle-local/2023-08-08-10:18:41.log,
,oe_test_build-jar-repository,succeed,03fail,./mugen-riscv/logs/javapackages-tools/oe_test_build-jar-repository/2023-08-08-10:16:39.log,
,oe_test_binary_files_operation,succeed,03fail,./mugen-riscv/logs/javapackages-tools/oe_test_binary_files_operation/2023-08-08-10:12:42.log,
,oe_test_find-shade-jar,succeed,03fail,./mugen-riscv/logs/javapackages-tools/oe_test_find-shade-jar/2023-08-08-10:17:11.log,
cockpit,oe_test_service_cockpit,failed,unknown,./mugen-riscv/logs/cockpit/oe_test_service_cockpit/2023-08-08-10:37:01.log,
,oe_test_socket_cockpit,failed,unknown,./mugen-riscv/logs/cockpit/oe_test_socket_cockpit/2023-08-08-10:38:00.log,
,oe_test_service_cockpit-motd,succeed,unknown,./mugen-riscv/logs/cockpit/oe_test_service_cockpit-motd/2023-08-08-10:36:27.log,
,oe_test_service_cockpit-wsinstance-http,failed,09fail,./mugen-riscv/logs/cockpit/oe_test_service_cockpit-wsinstance-http/2023-08-08-10:39:01.log,
libreswan,oe_test_libreswan_ipsec_02,succeed,unknown,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_02/2023-08-08-02:36:33.log,
,oe_test_libreswan_ipsec_whack_1,succeed,unknown,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_whack_1/2023-08-08-02:48:49.log,
,oe_test_libreswan_ipsec_auto_1,failed,unknown,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_auto_1/2023-08-08-02:40:52.log,
,oe_test_libreswan_ipsec_systemctl,failed,unknown,./mugen-riscv/logs/libreswan/oe_test_libreswan_ipsec_systemctl/2023-08-08-02:47:47.log,
